"No.","Time","Source","Destination","Protocol","Length","Info"
"82","08:34:42.114565","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"83","08:34:42.145668","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"84","08:34:42.145739","131.180.164.100","131.180.166.200","TCP","54","3389  >  53829 [ACK] Seq=8892 Ack=1341 Win=63441 Len=0"
"85","08:34:42.177131","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"86","08:34:42.200056","131.180.164.100","131.180.166.200","TLSv1.2","195","Application Data"
"87","08:34:42.207514","131.180.166.200","131.180.164.100","TLSv1.2","97","Application Data"
"88","08:34:42.239819","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"89","08:34:42.239909","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"90","08:34:42.239975","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"91","08:34:42.240035","131.180.164.100","131.180.166.200","TLSv1.2","328","Application Data"
"92","08:34:42.240097","131.180.164.100","131.180.166.200","TLSv1.2","624","Application Data"
"93","08:34:42.240270","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=10685 Win=8212 Len=0"
"94","08:34:42.240270","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=12337 Win=8212 Len=0"
"95","08:34:42.240374","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=13989 Win=8212 Len=0"
"96","08:34:42.240374","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=14833 Win=8209 Len=0"
"97","08:34:42.265003","131.180.164.100","131.180.166.200","TLSv1.2","181","Application Data"
"98","08:34:42.275025","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=14960 Win=8208 Len=0"
"99","08:34:42.367630","UkGridSo_0c:23:76","Iec-Tc57_01:00:20","GOOSE","163",""
"100","08:34:42.469086","UkGridSo_97:11:25","Iec_00:01:00","HSR/PRP","66","PRP Supervision"
"101","08:34:42.469086","UkGridSo_97:11:25","Iec_00:01:00","HSR/PRP","66","PRP Supervision"
"102","08:34:42.636338","131.180.164.81","224.0.1.129","PTPv2","106","Announce Message"
"103","08:34:42.643988","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"104","08:34:42.644021","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"105","08:34:42.644043","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"106","08:34:42.644064","131.180.164.100","131.180.166.200","TLSv1.2","835","Application Data"
"107","08:34:42.644515","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=16612 Win=8212 Len=0"
"108","08:34:42.644515","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=20697 Win=8212 Len=0"
"109","08:34:42.646116","131.180.164.100","131.180.166.200","TLSv1.2","115","Application Data"
"110","08:34:42.646184","131.180.164.100","131.180.166.200","TLSv1.2","107","Application Data"
"111","08:34:42.646243","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"112","08:34:42.646320","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"113","08:34:42.646382","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"114","08:34:42.646441","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"115","08:34:42.646500","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"116","08:34:42.646561","131.180.164.100","131.180.166.200","TLSv1.2","1706","Application Data"
"117","08:34:42.646570","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=20758 Win=8212 Len=0"
"118","08:34:42.646570","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=22463 Win=8212 Len=0"
"119","08:34:42.646633","131.180.164.100","131.180.166.200","TLSv1.2","789","Application Data"
"120","08:34:42.646670","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1427 Ack=24115 Win=8212 Len=0"
"121","08:34:42.646670","131.180.166.200","131.180.164.100","TLSv1.2","107","Application Data"
"122","08:34:42.646715","131.180.164.100","131.180.166.200","TLSv1.2","196","Application Data"
"123","08:34:42.646731","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1480 Ack=25767 Win=8212 Len=0"
"124","08:34:42.646731","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1480 Ack=27419 Win=8212 Len=0"
"125","08:34:42.646805","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1480 Ack=29071 Win=8212 Len=0"
"126","08:34:42.646870","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1480 Ack=30723 Win=8212 Len=0"
"127","08:34:42.646975","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1480 Ack=31600 Win=8209 Len=0"
"128","08:34:42.648474","131.180.166.200","131.180.164.100","TLSv1.2","157","Application Data"
"129","08:34:42.666961","131.180.164.100","131.180.166.200","TLSv1.2","143","Application Data"
"130","08:34:42.677577","131.180.166.200","131.180.164.100","TCP","60","53829  >  3389 [ACK] Seq=1583 Ack=31689 Win=8208 Len=0"
"131","08:34:42.698515","131.180.164.100","131.180.190.46","TCP","66","49518  >  1947 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"132","08:34:42.699516","131.180.190.46","131.180.164.100","TCP","66","1947  >  49518 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"133","08:34:42.699624","131.180.164.100","131.180.190.46","TCP","54","49518  >  1947 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"134","08:34:42.699737","131.180.164.100","131.180.190.46","HTTP","981","POST /api HTTP/1.1  (text/plain)"
