"No.","Time","Source","Destination","Protocol","Length","Info"
"64","3.232718815","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=121 Win=83 Len=0 TSval=2008831562 TSecr=1348062017"
"65","3.316341772","100.7.0.14","100.0.0.11","TCP","126","991  >  34836 [PSH, ACK] Seq=121 Ack=1 Win=85 Len=60 TSval=2717857835 TSecr=3576438081"
"66","3.316362232","100.0.0.11","100.7.0.14","TCP","66","34836  >  991 [ACK] Seq=1 Ack=181 Win=83 Len=0 TSval=3576439194 TSecr=2717857835"
"67","3.349881769","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=91 Ack=1 Win=85 Len=30 TSval=2873887413 TSecr=2678129045"
"68","3.349899334","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=121 Win=83 Len=0 TSval=2678130086 TSecr=2873887413"
"69","3.518768005","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=121 Ack=1 Win=85 Len=40 TSval=1173214592 TSecr=2185427065"
"70","3.518786621","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=161 Win=83 Len=0 TSval=2185428165 TSecr=1173214592"
"71","3.724356308","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=133 Ack=1 Win=85 Len=44 TSval=605243483 TSecr=3969654664"
"72","3.724377286","100.0.0.11","100.7.0.11","TCP","66","45964  >  991 [ACK] Seq=1 Ack=177 Win=83 Len=0 TSval=3969655687 TSecr=605243483"
"73","3.922623577","100.7.0.12","100.0.0.11","TCP","132","991  >  59390 [PSH, ACK] Seq=199 Ack=1 Win=85 Len=66 TSval=3935660345 TSecr=2228707900"
"74","3.922642668","100.0.0.11","100.7.0.12","TCP","66","59390  >  991 [ACK] Seq=1 Ack=265 Win=83 Len=0 TSval=2228709052 TSecr=3935660345"
"75","4.062633536","100.7.0.20","100.0.0.11","TCP","124","991  >  60272 [PSH, ACK] Seq=175 Ack=1 Win=85 Len=58 TSval=3605655468 TSecr=3845574182"
"76","4.062654280","100.0.0.11","100.7.0.20","TCP","66","60272  >  991 [ACK] Seq=1 Ack=233 Win=83 Len=0 TSval=3845575422 TSecr=3605655468"
"77","4.200593089","100.7.0.18","100.0.0.11","TCP","124","991  >  33564 [PSH, ACK] Seq=233 Ack=1 Win=85 Len=58 TSval=4184665193 TSecr=1493872259"
"78","4.200616494","100.0.0.11","100.7.0.18","TCP","66","33564  >  991 [ACK] Seq=1 Ack=291 Win=83 Len=0 TSval=1493873293 TSecr=4184665193"
"79","4.247213918","100.7.0.13","100.0.0.11","TCP","132","991  >  47728 [PSH, ACK] Seq=199 Ack=1 Win=85 Len=66 TSval=3812961442 TSecr=2374081709"
"80","4.247230594","100.0.0.11","100.7.0.13","TCP","66","47728  >  991 [ACK] Seq=1 Ack=265 Win=83 Len=0 TSval=2374082955 TSecr=3812961442"
"81","4.274117974","100.7.0.16","100.0.0.11","TCP","116","991  >  41610 [PSH, ACK] Seq=201 Ack=1 Win=85 Len=50 TSval=11418186 TSecr=220208744"
"82","4.274134957","100.0.0.11","100.7.0.16","TCP","66","41610  >  991 [ACK] Seq=1 Ack=251 Win=83 Len=0 TSval=220209791 TSecr=11418186"
"83","4.286616327","100.7.0.15","100.0.0.11","TCP","96","991  >  40760 [PSH, ACK] Seq=121 Ack=1 Win=85 Len=30 TSval=1348063071 TSecr=2008831562"
"84","4.286633556","100.0.0.11","100.7.0.15","TCP","66","40760  >  991 [ACK] Seq=1 Ack=151 Win=83 Len=0 TSval=2008832616 TSecr=1348063071"
"85","4.375884190","100.7.0.19","100.0.0.11","TCP","96","991  >  50984 [PSH, ACK] Seq=121 Ack=1 Win=85 Len=30 TSval=2873888439 TSecr=2678130086"
"86","4.375901825","100.0.0.11","100.7.0.19","TCP","66","50984  >  991 [ACK] Seq=1 Ack=151 Win=83 Len=0 TSval=2678131112 TSecr=2873888439"
"87","4.429227748","100.7.0.14","100.0.0.11","TCP","126","991  >  34836 [PSH, ACK] Seq=181 Ack=1 Win=85 Len=60 TSval=2717858948 TSecr=3576439194"
"88","4.429244066","100.0.0.11","100.7.0.14","TCP","66","34836  >  991 [ACK] Seq=1 Ack=241 Win=83 Len=0 TSval=3576440307 TSecr=2717858948"
"89","4.670625533","100.7.0.17","100.0.0.11","TCP","106","991  >  60614 [PSH, ACK] Seq=161 Ack=1 Win=85 Len=40 TSval=1173215744 TSecr=2185428165"
"90","4.670644898","100.0.0.11","100.7.0.17","TCP","66","60614  >  991 [ACK] Seq=1 Ack=201 Win=83 Len=0 TSval=2185429317 TSecr=1173215744"
"91","4.854609245","100.7.0.11","100.0.0.11","TCP","110","991  >  45964 [PSH, ACK] Seq=177 Ack=1 Win=85 Len=44 TSval=605244613 TSecr=3969655687"
