"No.","Time","Source","Destination","Protocol","Length","Info"
"838","43.025409109","100.0.0.11","100.7.0.18","TCP","66","34304  >  991 [ACK] Seq=1 Ack=2321 Win=83 Len=0 TSval=1505327383 TSecr=4196119283"
"839","43.492600382","100.7.0.11","100.0.0.11","TCP","110","991  >  48450 [PSH, ACK] Seq=1805 Ack=1 Win=85 Len=44 TSval=616698517 TSecr=3981109668"
"840","43.492615884","100.0.0.11","100.7.0.11","TCP","66","48450  >  991 [ACK] Seq=1 Ack=1849 Win=83 Len=0 TSval=3981110721 TSecr=616698517"
"841","43.547921903","100.7.0.15","100.0.0.11","TCP","96","991  >  48110 [PSH, ACK] Seq=1261 Ack=1 Win=85 Len=30 TSval=1359517598 TSecr=2020286129"
"842","43.547936791","100.0.0.11","100.7.0.15","TCP","66","48110  >  991 [ACK] Seq=1 Ack=1291 Win=83 Len=0 TSval=2020287143 TSecr=1359517598"
"843","43.693320560","100.7.0.17","100.0.0.11","TCP","106","991  >  42932 [PSH, ACK] Seq=1641 Ack=1 Win=85 Len=40 TSval=1184670032 TSecr=2196882515"
"844","43.693335914","100.0.0.11","100.7.0.17","TCP","66","42932  >  991 [ACK] Seq=1 Ack=1681 Win=83 Len=0 TSval=2196883605 TSecr=1184670032"
"845","43.711047370","100.7.0.14","100.0.0.11","TCP","126","991  >  51270 [PSH, ACK] Seq=2281 Ack=1 Win=85 Len=60 TSval=2729313495 TSecr=3587893658"
"846","43.711061362","100.0.0.11","100.7.0.14","TCP","66","51270  >  991 [ACK] Seq=1 Ack=2341 Win=83 Len=0 TSval=3587894854 TSecr=2729313495"
"847","43.725813554","100.7.0.13","100.0.0.11","TCP","132","991  >  36616 [PSH, ACK] Seq=2641 Ack=1 Win=85 Len=66 TSval=3824416186 TSecr=2385536598"
"848","43.725824931","100.0.0.11","100.7.0.13","TCP","66","36616  >  991 [ACK] Seq=1 Ack=2707 Win=83 Len=0 TSval=2385537699 TSecr=3824416186"
"849","43.775234437","100.7.0.16","100.0.0.11","TCP","116","991  >  40906 [PSH, ACK] Seq=2101 Ack=1 Win=85 Len=50 TSval=22872952 TSecr=231663520"
"850","43.775248101","100.0.0.11","100.7.0.16","TCP","66","40906  >  991 [ACK] Seq=1 Ack=2151 Win=83 Len=0 TSval=231664557 TSecr=22872952"
"851","43.897753378","100.7.0.19","100.0.0.11","TCP","96","991  >  55904 [PSH, ACK] Seq=1261 Ack=1 Win=85 Len=30 TSval=2885343227 TSecr=2689584890"
"852","43.897767073","100.0.0.11","100.7.0.19","TCP","66","55904  >  991 [ACK] Seq=1 Ack=1291 Win=83 Len=0 TSval=2689585899 TSecr=2885343227"
"853","44.002868509","100.7.0.12","100.0.0.11","TCP","132","991  >  50518 [PSH, ACK] Seq=2575 Ack=1 Win=85 Len=66 TSval=3947115691 TSecr=2240163277"
"854","44.002883295","100.0.0.11","100.7.0.12","TCP","66","50518  >  991 [ACK] Seq=1 Ack=2641 Win=83 Len=0 TSval=2240164398 TSecr=3947115691"
"855","44.056785142","100.7.0.20","100.0.0.11","TCP","124","991  >  34906 [PSH, ACK] Seq=2379 Ack=1 Win=85 Len=58 TSval=3617110728 TSecr=3857029626"
"856","44.056799007","100.0.0.11","100.7.0.20","TCP","66","34906  >  991 [ACK] Seq=1 Ack=2437 Win=83 Len=0 TSval=3857030682 TSecr=3617110728"
"857","44.241290469","100.7.0.18","100.0.0.11","TCP","124","991  >  34304 [PSH, ACK] Seq=2321 Ack=1 Win=85 Len=58 TSval=4196120499 TSecr=1505327383"
"858","44.241306776","100.0.0.11","100.7.0.18","TCP","66","34304  >  991 [ACK] Seq=1 Ack=2379 Win=83 Len=0 TSval=1505328599 TSecr=4196120499"
"859","44.545530924","100.7.0.11","100.0.0.11","TCP","110","991  >  48450 [PSH, ACK] Seq=1849 Ack=1 Win=85 Len=44 TSval=616699569 TSecr=3981110721"
